From 2022-03-05T16_25_21-08_00_PT10M55.738S_Walking.tcx

 Distance  (m), Date and Time, Latitude (deg N), Longitude (deg E), Altitude (m)
43.30848503112793,2022-03-06 00:27:13.327,47.948829650878906,-122.37103271484375,115.32051849365234
43.30848503112793,2022-03-06 00:27:16.161,47.94883346557617,-122.37104034423828,115.90672302246094
43.30848503112793,2022-03-06 00:27:18.558,47.94883728027344,-122.37105560302734,115.90672302246094
43.30848503112793,2022-03-06 00:27:23.421,47.94883346557617,-122.3710708618164,117.94873046875
43.30848503112793,2022-03-06 00:27:29.529,47.94883728027344,-122.37108612060547,118.69003295898438
51.88345718383789,2022-03-06 00:27:34.407,47.94882583618164,-122.37109375,119.3864974975586
51.88345718383789,2022-03-06 00:27:36.683,47.94881820678711,-122.37109375,119.53854370117188
51.88345718383789,2022-03-06 00:27:38.998,47.94880676269531,-122.37108612060547,119.52899932861328
51.88345718383789,2022-03-06 00:27:42.425,47.948795318603516,-122.37109375,120.68819427490234
51.88345718383789,2022-03-06 00:27:45.762,47.948787689208984,-122.37110137939453,120.1611328125
51.88345718383789,2022-03-06 00:27:48.218,47.94877624511719,-122.37110900878906,121.02085876464844
51.88345718383789,2022-03-06 00:27:51.805,47.94877624511719,-122.37112426757812,120.66706848144531
61.27494716644287,2022-03-06 00:28:09.658,47.94876480102539,-122.37113189697266,122.05953216552734
61.27494716644287,2022-03-06 00:28:19.722,47.94877624511719,-122.37113952636719,122.22052001953125
61.27494716644287,2022-03-06 00:28:21.145,47.948787689208984,-122.37113952636719,122.23737335205078
61.27494716644287,2022-03-06 00:28:22.482,47.94879913330078,-122.37113952636719,122.23737335205078
61.27494716644287,2022-03-06 00:28:23.280,47.94880676269531,-122.37113952636719,122.06922912597656
61.27494716644287,2022-03-06 00:28:25.856,47.94882583618164,-122.37113189697266,122.39070129394531
61.27494716644287,2022-03-06 00:28:28.360,47.94883346557617,-122.37112426757812,122.13975524902344
84.76931285858154,2022-03-06 00:28:31.802,47.94884490966797,-122.37110137939453,122.42232513427734
84.76931285858154,2022-03-06 00:28:33.601,47.948856353759766,-122.37109375,121.72834014892578
84.76931285858154,2022-03-06 00:28:35.664,47.94887161254883,-122.37107849121094,122.18217468261719
84.76931285858154,2022-03-06 00:28:36.766,47.94887924194336,-122.3710708618164,121.56069946289062
84.76931285858154,2022-03-06 00:28:38.137,47.94889450073242,-122.37106323242188,121.45234680175781
84.76931285858154,2022-03-06 00:28:39.717,47.94890594482422,-122.37105560302734,121.51163482666016
84.76931285858154,2022-03-06 00:28:42.304,47.94891357421875,-122.37104797363281,121.44444274902344
84.76931285858154,2022-03-06 00:28:44.741,47.94891357421875,-122.37102508544922,121.14911651611328
84.76931285858154,2022-03-06 00:28:46.543,47.948917388916016,-122.37101745605469,121.19835662841797
84.76931285858154,2022-03-06 00:28:47.898,47.94892501831055,-122.37100982666016,121.36288452148438
84.76931285858154,2022-03-06 00:28:49.907,47.948936462402344,-122.37100219726562,120.96630096435547
84.76931285858154,2022-03-06 00:28:51.399,47.948944091796875,-122.37098693847656,120.94790649414062
84.76931285858154,2022-03-06 00:28:53.125,47.948951721191406,-122.37097930908203,121.26837158203125
84.76931285858154,2022-03-06 00:28:54.758,47.9489631652832,-122.37097930908203,120.84890747070312
84.76931285858154,2022-03-06 00:28:56.497,47.948974609375,-122.3709716796875,120.34080505371094
84.76931285858154,2022-03-06 00:28:57.800,47.9489860534668,-122.37096405029297,120.21318817138672
84.76931285858154,2022-03-06 00:28:59.597,47.948997497558594,-122.37095642089844,120.78600311279297
97.89573097229004,2022-03-06 00:29:01.537,47.94900894165039,-122.3709487915039,120.85641479492188
97.89573097229004,2022-03-06 00:29:03.697,47.94902038574219,-122.37094116210938,120.39920043945312
97.89573097229004,2022-03-06 00:29:07.143,47.94902801513672,-122.37093353271484,120.86976623535156
97.89573097229004,2022-03-06 00:29:09.182,47.94904327392578,-122.37093353271484,121.12100982666016
97.89573097229004,2022-03-06 00:29:13.762,47.94905090332031,-122.37092590332031,121.15970611572266
97.89573097229004,2022-03-06 00:29:16.765,47.949058532714844,-122.37091064453125,121.36426544189453
97.89573097229004,2022-03-06 00:29:20.768,47.94906234741211,-122.37090301513672,121.79314422607422
97.89573097229004,2022-03-06 00:29:22.638,47.94906997680664,-122.37089538574219,121.79314422607422
97.89573097229004,2022-03-06 00:29:25.163,47.94907760620117,-122.37088012695312,121.39288330078125
97.89573097229004,2022-03-06 00:29:27.566,47.9490852355957,-122.3708724975586,121.32360076904297
97.89573097229004,2022-03-06 00:29:28.769,47.949092864990234,-122.37086486816406,121.47245788574219
128.86570358276367,2022-03-06 00:29:30.744,47.9490966796875,-122.370849609375,121.47245788574219
128.86570358276367,2022-03-06 00:29:31.941,47.94910430908203,-122.37083435058594,121.1048355102539
128.86570358276367,2022-03-06 00:29:33.617,47.94911193847656,-122.37081909179688,121.59333038330078
128.86570358276367,2022-03-06 00:29:34.369,47.94912338256836,-122.37081146240234,121.46046447753906
128.86570358276367,2022-03-06 00:29:36.769,47.949134826660156,-122.37079620361328,121.22920989990234
128.86570358276367,2022-03-06 00:29:37.981,47.94914245605469,-122.37078857421875,121.22920989990234
128.86570358276367,2022-03-06 00:29:39.200,47.94915008544922,-122.37077331542969,122.08405303955078
128.86570358276367,2022-03-06 00:29:40.772,47.94916915893555,-122.37075805664062,122.26429748535156
128.86570358276367,2022-03-06 00:29:42.298,47.949180603027344,-122.3707504272461,122.26429748535156
128.86570358276367,2022-03-06 00:29:43.479,47.949188232421875,-122.37074279785156,121.45814514160156
128.86570358276367,2022-03-06 00:29:44.620,47.94919967651367,-122.37073516845703,121.45814514160156
128.86570358276367,2022-03-06 00:29:45.723,47.9492073059082,-122.37071990966797,121.65779113769531
128.86570358276367,2022-03-06 00:29:47.125,47.94921875,-122.37071228027344,122.22557830810547
128.86570358276367,2022-03-06 00:29:48.776,47.9492301940918,-122.37069702148438,121.59101104736328
128.86570358276367,2022-03-06 00:29:50.337,47.94923782348633,-122.37068176269531,121.59101104736328
128.86570358276367,2022-03-06 00:29:51.553,47.94924545288086,-122.37066650390625,122.30722045898438
128.86570358276367,2022-03-06 00:29:52.728,47.94925308227539,-122.37065887451172,122.49732971191406
128.86570358276367,2022-03-06 00:29:53.167,47.94926071166992,-122.37065124511719,122.05496978759766
128.86570358276367,2022-03-06 00:29:54.764,47.94926834106445,-122.37064361572266,121.92720794677734
128.86570358276367,2022-03-06 00:29:56.201,47.949275970458984,-122.37063598632812,121.92720794677734
128.86570358276367,2022-03-06 00:29:57.919,47.94928741455078,-122.37062072753906,121.6502914428711
128.86570358276367,2022-03-06 00:29:59.698,47.949302673339844,-122.37060546875,123.33377075195312
154.17461013793945,2022-03-06 00:30:02.065,47.949310302734375,-122.37059020996094,122.49324035644531
154.17461013793945,2022-03-06 00:30:04.340,47.94932174682617,-122.37057495117188,122.48302459716797
154.17461013793945,2022-03-06 00:30:05.843,47.94933319091797,-122.37056732177734,122.57501220703125
154.17461013793945,2022-03-06 00:30:07.859,47.949344635009766,-122.37055969238281,123.34957122802734
154.17461013793945,2022-03-06 00:30:09.585,47.9493522644043,-122.37055206298828,123.11229705810547
154.17461013793945,2022-03-06 00:30:11.998,47.949371337890625,-122.37054443359375,122.87245178222656
154.17461013793945,2022-03-06 00:30:14.479,47.94938278198242,-122.37053680419922,122.31552124023438
154.17461013793945,2022-03-06 00:30:16.507,47.94939422607422,-122.37052154541016,123.42536926269531
154.17461013793945,2022-03-06 00:30:18.180,47.94940948486328,-122.37051391601562,123.46491241455078
154.17461013793945,2022-03-06 00:30:20.065,47.94941329956055,-122.37049865722656,123.03337860107422
154.17461013793945,2022-03-06 00:30:21.301,47.94941711425781,-122.3704833984375,122.88998413085938
154.17461013793945,2022-03-06 00:30:22.405,47.94942092895508,-122.37046813964844,122.88998413085938
154.17461013793945,2022-03-06 00:30:23.644,47.949424743652344,-122.37045288085938,121.86588287353516
154.17461013793945,2022-03-06 00:30:24.749,47.94942855834961,-122.37043762207031,122.84373474121094
154.17461013793945,2022-03-06 00:30:26.019,47.94942855834961,-122.37042236328125,122.69633483886719
154.17461013793945,2022-03-06 00:30:27.066,47.949432373046875,-122.37040710449219,122.08956909179688
154.17461013793945,2022-03-06 00:30:28.564,47.94943618774414,-122.3703842163086,122.08956909179688
154.17461013793945,2022-03-06 00:30:29.520,47.94943618774414,-122.37036895751953,122.2617416381836
180.17815971374512,2022-03-06 00:30:30.771,47.949440002441406,-122.37034606933594,121.29412841796875
180.17815971374512,2022-03-06 00:30:31.983,47.949440002441406,-122.37033081054688,121.29412841796875
180.17815971374512,2022-03-06 00:30:33.705,47.94944381713867,-122.37031555175781,121.46185302734375
180.17815971374512,2022-03-06 00:30:35.199,47.94944763183594,-122.37029266357422,122.63297271728516
180.17815971374512,2022-03-06 00:30:36.763,47.9494514465332,-122.37026977539062,119.64122772216797
180.17815971374512,2022-03-06 00:30:38.481,47.94945526123047,-122.37025451660156,119.64122772216797
180.17815971374512,2022-03-06 00:30:39.607,47.949459075927734,-122.3702392578125,119.662353515625
180.17815971374512,2022-03-06 00:30:40.774,47.949459075927734,-122.37022399902344,119.90697479248047
180.17815971374512,2022-03-06 00:30:42.439,47.949466705322266,-122.37020111083984,119.25834655761719
180.17815971374512,2022-03-06 00:30:43.520,47.94947052001953,-122.37017822265625,119.04581451416016
180.17815971374512,2022-03-06 00:30:45.681,47.9494743347168,-122.37015533447266,119.04173278808594
180.17815971374512,2022-03-06 00:30:47.897,47.949485778808594,-122.3701400756836,118.33150482177734
180.17815971374512,2022-03-06 00:30:50.104,47.949493408203125,-122.37012481689453,117.3751449584961
180.17815971374512,2022-03-06 00:30:52.664,47.949501037597656,-122.37010955810547,117.7894515991211
180.17815971374512,2022-03-06 00:30:54.587,47.94950866699219,-122.37010192871094,116.79058837890625
180.17815971374512,2022-03-06 00:30:56.222,47.94951629638672,-122.3700942993164,117.3163833618164
