Latitude, Longitude
48.006656646728516, -122.40076446533203
48.006649017333984, -122.40078735351562
48.006649017333984, -122.40080261230469
48.00663757324219, -122.40082550048828
48.00663375854492, -122.40084838867188
48.006622314453125, -122.40087127685547
48.006614685058594, -122.40088653564453
48.00661087036133, -122.40089416503906
48.0066032409668, -122.40090942382812
48.006591796875, -122.40092468261719
48.00658416748047, -122.40093994140625
48.00657653808594, -122.40095520019531
48.00657272338867, -122.40097045898438
48.00656509399414, -122.40098571777344
48.006553649902344, -122.4010009765625
48.00654602050781, -122.40101623535156
48.006526947021484, -122.40103149414062
48.00651550292969, -122.40104675292969
48.006507873535156, -122.40104675292969
48.00649642944336, -122.40105438232422
48.0064811706543, -122.40106964111328
48.006473541259766, -122.40107727050781
48.0064582824707, -122.4011001586914
48.00645065307617, -122.40110778808594
