"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Rain Rate (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","CO2 battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2025-01-31T20:30:00-08:00,2025-01-31 20:30:00,39.6,37.5,39.1,3.4,4.5,20.6,240,0.19,0.35,0.28,0.38,1.66,198.74,30.41,98,0,0,77,33,29.14,1,1,76,45.7
2025-01-31T20:25:00-08:00,2025-01-31 20:25:00,39.7,39.7,39.2,0.4,1.1,20.6,204,0.12,0.34,0.27,0.37,1.65,198.73,30.41,98,0,0,77,33,29.14,1,1,76,45.7
2025-01-31T20:20:00-08:00,2025-01-31 20:20:00,39.7,39.7,38.9,2.2,5.8,20.6,273,0,0.32,0.25,0.35,1.63,198.71,30.41,97,0,0,77,33,29.13,1,1,76,45.7
2025-01-31T20:15:00-08:00,2025-01-31 20:15:00,40.1,40.1,39.3,2,2.2,20.6,303,0,0.32,0.25,0.35,1.63,198.71,30.41,97,0,0,77.2,33,29.14,1,1,76.2,45.8
2025-01-31T20:10:00-08:00,2025-01-31 20:10:00,40.1,40.1,39.3,1.8,2.2,20.6,304,0,0.32,0.25,0.35,1.63,198.71,30.4,97,0,0,77.4,34,29.13,1,1,76.4,46.8
2025-01-31T20:05:00-08:00,2025-01-31 20:05:00,40.3,40.3,39.5,2,2.2,20.6,261,0,0.32,0.25,0.35,1.63,198.71,30.41,97,0,0,77.2,34,29.13,1,1,76.2,46.6
2025-01-31T20:00:00-08:00,2025-01-31 20:00:00,40.3,40.3,39.5,1.6,2.2,20.6,280,0,0.32,0.25,0.35,1.63,198.71,30.39,97,0,0,77.4,34,29.12,1,1,76.4,46.8
2025-01-31T19:55:00-08:00,2025-01-31 19:55:00,40.6,40.6,39.8,2.5,3.4,20.6,241,0,0.32,0.25,0.35,1.63,198.71,30.39,97,0,0,77.2,34,29.11,1,1,76.2,46.6
2025-01-31T19:50:00-08:00,2025-01-31 19:50:00,41,41,40.2,2.9,3.4,20.6,251,0,0.32,0.25,0.35,1.63,198.71,30.39,97,0,0,77.4,34,29.11,1,1,76.4,46.8
2025-01-31T19:45:00-08:00,2025-01-31 19:45:00,41.5,41.5,40.4,1.1,1.1,20.6,23,0,0.32,0.25,0.35,1.63,198.71,30.38,96,0,0,77.4,34,29.11,1,1,76.4,46.8
2025-01-31T19:40:00-08:00,2025-01-31 19:40:00,42.3,39.4,41.2,4.7,6.9,20.6,281,0,0.32,0.25,0.35,1.63,198.71,30.39,96,0,0,77.2,34,29.11,1,1,76.2,46.6
2025-01-31T19:35:00-08:00,2025-01-31 19:35:00,43.2,43.2,41.9,1.8,2.2,20.6,304,0,0.32,0.25,0.35,1.63,198.71,30.39,95,0,0,77.4,34,29.11,1,1,76.4,46.8
2025-01-31T19:30:00-08:00,2025-01-31 19:30:00,46.8,46.8,45.7,2.7,3.4,20.6,267,0,0.32,0.25,0.35,1.63,198.71,30.38,96,0,0,77.4,34,29.11,1,1,76.4,46.8
2025-01-31T19:25:00-08:00,2025-01-31 19:25:00,46.8,43.9,45.7,6,8.1,20.6,223,0,0.32,0.25,0.35,1.63,198.71,30.36,96,0,0,77.4,34,29.08,1,1,76.4,46.8
