,Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Event Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Indoor Feels Like (°F),Indoor Dew Point (°F),Absolute Pressure (inHg)
High Datetime,2022-05-05,2022-05-05T19:29:00-07:00,2022-05-05T19:29:00-07:00,2022-05-05T19:29:00-07:00,2022-05-05T12:10:00-07:00,2022-05-05T12:10:00-07:00,2022-05-05T12:37:00-07:00,,2022-05-05T21:44:00-07:00,2022-05-05T23:33:00-07:00,2022-05-05T23:33:00-07:00,2022-05-05T23:33:00-07:00,2022-05-05T23:33:00-07:00,2022-05-05T23:33:00-07:00,2022-05-05T00:05:00-07:00,2022-05-05T03:18:00-07:00,2022-05-05T15:07:00-07:00,2022-05-05T15:14:00-07:00,2022-05-05T00:04:00-07:00,2022-05-05T20:12:00-07:00,2022-05-05T00:04:00-07:00,2022-05-05T21:25:00-07:00,2022-05-05T00:05:00-07:00
Low,2022-05-05,42.8,38.6,41.5,0,0,1.1,,0,0,0,0,0,94.3,30.4,91,0,0,73.9,36,72.7,45.2,29.13
Low Datetime,2022-05-05,2022-05-05T09:39:00-07:00,2022-05-05T12:10:00-07:00,2022-05-05T09:39:00-07:00,2022-05-05T01:00:00-07:00,2022-05-05T01:00:00-07:00,2022-05-05T01:00:00-07:00,,2022-05-05T01:00:00-07:00,2022-05-05T01:00:00-07:00,2022-05-05T00:00:00-07:00,2022-05-05T00:00:00-07:00,2022-05-05T01:00:00-07:00,2022-05-05T01:00:00-07:00,2022-05-05T19:14:00-07:00,2022-05-05T00:00:00-07:00,2022-05-05T01:00:00-07:00,2022-05-05T01:00:00-07:00,2022-05-05T06:59:00-07:00,2022-05-05T09:34:00-07:00,2022-05-05T06:59:00-07:00,2022-05-05T09:34:00-07:00,2022-05-05T19:14:00-07:00
Average,2022-05-04,50,50,46.5,0.4,0.8,4.1,NNE,0,0,0.8,0.8,0.24,94.3,30.76,88,0,119.2,76.7,36,75.8,47.9,29.49
High,2022-05-04,63.5,63.5,53.3,3.6,4.5,5.8,,0,0,0.83,0.83,0.83,94.3,30.95,97,7,719.2,80.1,39,79.7,51.7,29.68
High Datetime,2022-05-04,2022-05-04T15:18:00-07:00,2022-05-04T15:18:00-07:00,2022-05-04T15:17:00-07:00,2022-05-04T21:25:00-07:00,2022-05-04T13:33:00-07:00,2022-05-04T13:33:00-07:00,,2022-05-04T01:00:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T00:26:00-07:00,2022-05-04T01:25:00-07:00,2022-05-04T15:14:00-07:00,2022-05-04T15:14:00-07:00,2022-05-04T14:55:00-07:00,2022-05-04T20:25:00-07:00,2022-05-04T14:55:00-07:00,2022-05-04T21:47:00-07:00,2022-05-04T00:26:00-07:00
Low,2022-05-04,43.5,43.5,41.7,0,0,0,,0,0,0,0,0,94.3,30.58,64,0,0,73.6,35,72.3,44.2,29.31
Low Datetime,2022-05-04,2022-05-04T00:23:00-07:00,2022-05-04T00:23:00-07:00,2022-05-04T02:17:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T00:00:00-07:00,,2022-05-04T01:00:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T00:00:00-07:00,2022-05-04T00:00:00-07:00,2022-05-04T07:00:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T23:38:00-07:00,2022-05-04T15:24:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T05:05:00-07:00,2022-05-04T01:00:00-07:00,2022-05-04T05:05:00-07:00,2022-05-04T05:05:00-07:00,2022-05-04T23:38:00-07:00
Average,2022-05-03,47.2,47.1,45.7,0.9,1.3,6.3,N,0.01,0.08,0.76,0.76,0.79,94.27,30.98,94,0,63.6,75.5,38,74.5,48.1,29.71
High,2022-05-03,53.2,53.2,49,6.3,8.1,9.2,,0.12,0.12,0.83,0.83,0.83,94.3,31.03,99,5,530.9,77.4,39,76.7,50.5,29.76
High Datetime,2022-05-03,2022-05-03T14:48:00-07:00,2022-05-03T14:48:00-07:00,2022-05-03T11:47:00-07:00,2022-05-03T13:18:00-07:00,2022-05-03T12:01:00-07:00,2022-05-03T12:01:00-07:00,,2022-05-03T06:12:00-07:00,2022-05-03T10:11:00-07:00,2022-05-03T10:11:00-07:00,2022-05-03T10:11:00-07:00,2022-05-03T10:11:00-07:00,2022-05-03T10:11:00-07:00,2022-05-03T14:57:00-07:00,2022-05-03T06:23:00-07:00,2022-05-03T14:38:00-07:00,2022-05-03T14:38:00-07:00,2022-05-03T14:35:00-07:00,2022-05-03T01:00:00-07:00,2022-05-03T14:54:00-07:00,2022-05-03T14:54:00-07:00,2022-05-03T14:57:00-07:00
Low,2022-05-03,44.2,43.8,42.5,0,0,0,,0,0,0,0,0.71,94.19,30.87,83,0,0,73.8,36,72.7,46.6,29.6
Low Datetime,2022-05-03,2022-05-03T23:49:00-07:00,2022-05-03T07:50:00-07:00,2022-05-03T20:22:00-07:00,2022-05-03T01:02:00-07:00,2022-05-03T01:02:00-07:00,2022-05-03T00:00:00-07:00,,2022-05-03T01:00:00-07:00,2022-05-03T01:00:00-07:00,2022-05-03T00:00:00-07:00,2022-05-03T00:00:00-07:00,2022-05-03T01:00:00-07:00,2022-05-03T01:00:00-07:00,2022-05-03T00:00:00-07:00,2022-05-03T14:50:00-07:00,2022-05-03T01:00:00-07:00,2022-05-03T01:00:00-07:00,2022-05-03T04:41:00-07:00,2022-05-03T23:16:00-07:00,2022-05-03T04:41:00-07:00,2022-05-03T04:41:00-07:00,2022-05-03T00:00:00-07:00
Average,2022-05-02,48.9,48.8,46.9,1.1,1.5,8.4,NNE,0.03,0.54,0.54,0.54,0.54,94.01,30.63,92,0,77.9,76.2,37,75.3,48.1,29.35
High,2022-05-02,53.8,53.8,49.9,7.2,10.3,10.3,,0.28,0.71,0.71,0.71,0.71,94.19,30.88,99,4,477.1,78.6,41,77.8,51.1,29.6
High Datetime,2022-05-02,2022-05-02T18:59:00-07:00,2022-05-02T18:59:00-07:00,2022-05-02T10:45:00-07:00,2022-05-02T05:33:00-07:00,2022-05-02T05:45:00-07:00,2022-05-02T05:45:00-07:00,,2022-05-02T03:58:00-07:00,2022-05-02T09:49:00-07:00,2022-05-02T09:49:00-07:00,2022-05-02T09:49:00-07:00,2022-05-02T09:49:00-07:00,2022-05-02T09:49:00-07:00,2022-05-02T23:58:00-07:00,2022-05-02T04:29:00-07:00,2022-05-02T10:35:00-07:00,2022-05-02T10:40:00-07:00,2022-05-02T00:03:00-07:00,2022-05-02T21:52:00-07:00,2022-05-02T00:03:00-07:00,2022-05-02T21:52:00-07:00,2022-05-02T23:58:00-07:00
Low,2022-05-02,46.2,43.6,44.6,0,0,1.1,,0,0,0,0,0,93.47,30.43,77,0,0,73.9,34,72.7,45.2,29.16
Low Datetime,2022-05-02,2022-05-02T07:20:00-07:00,2022-05-02T06:54:00-07:00,2022-05-02T00:51:00-07:00,2022-05-02T01:00:00-07:00,2022-05-02T01:00:00-07:00,2022-05-02T01:00:00-07:00,,2022-05-02T01:00:00-07:00,2022-05-02T01:00:00-07:00,2022-05-02T01:00:00-07:00,2022-05-02T01:00:00-07:00,2022-05-02T01:00:00-07:00,2022-05-02T01:00:00-07:00,2022-05-02T04:46:00-07:00,2022-05-02T00:00:00-07:00,2022-05-02T01:00:00-07:00,2022-05-02T01:00:00-07:00,2022-05-02T07:53:00-07:00,2022-05-02T01:21:00-07:00,2022-05-02T07:53:00-07:00,2022-05-02T07:53:00-07:00,2022-05-02T04:46:00-07:00
Average,2022-05-01,52.4,52.4,46,1.5,2,10.7,NE,0,0,0,0,0.06,93.47,30.76,80,1,171.3,77.7,33,76.8,46.9,29.48
High,2022-05-01,61.7,61.7,51.6,10.5,12.5,18.3,,0,0,0,0,0.21,93.47,30.86,98,9,938.7,81.1,35,80.1,49.4,29.59
High Datetime,2022-05-01,2022-05-01T13:30:00-07:00,2022-05-01T13:30:00-07:00,2022-05-01T12:29:00-07:00,2022-05-01T14:24:00-07:00,2022-05-01T14:01:00-07:00,2022-05-01T13:31:00-07:00,,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T08:17:00-07:00,2022-05-01T04:21:00-07:00,2022-05-01T13:23:00-07:00,2022-05-01T13:23:00-07:00,2022-05-01T16:11:00-07:00,2022-05-01T23:16:00-07:00,2022-05-01T16:11:00-07:00,2022-05-01T14:37:00-07:00,2022-05-01T08:17:00-07:00
Low,2022-05-01,44.4,44.4,43.5,0,0,1.1,,0,0,0,0,0,93.47,30.5,56,0,0,74.3,33,73,44.1,29.23
Low Datetime,2022-05-01,2022-05-01T03:06:00-07:00,2022-05-01T03:06:00-07:00,2022-05-01T03:04:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T07:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T23:51:00-07:00,2022-05-01T16:09:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T01:00:00-07:00,2022-05-01T07:41:00-07:00,2022-05-01T02:56:00-07:00,2022-05-01T07:41:00-07:00,2022-05-01T07:41:00-07:00,2022-05-01T23:51:00-07:00
