,Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Event Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Indoor Feels Like (°F),Indoor Dew Point (°F),Absolute Pressure (inHg)
Low Datetime,2022-05-26,2022-05-26T04:56:00-07:00,2022-05-26T04:56:00-07:00,2022-05-26T04:56:00-07:00,2022-05-26T01:01:00-07:00,2022-05-26T01:01:00-07:00,2022-05-26T00:00:00-07:00,,2022-05-26T01:00:00-07:00,2022-05-26T01:00:00-07:00,2022-05-26T00:00:00-07:00,2022-05-26T00:00:00-07:00,2022-05-26T05:00:00-07:00,2022-05-26T01:00:00-07:00,2022-05-26T22:21:00-07:00,2022-05-26T12:48:00-07:00,2022-05-26T01:00:00-07:00,2022-05-26T01:00:00-07:00,2022-05-26T23:59:00-07:00,2022-05-26T01:00:00-07:00,2022-05-26T23:59:00-07:00,2022-05-26T06:38:00-07:00,2022-05-26T22:21:00-07:00
Average,2022-05-25,56.3,56.2,50.5,2.1,3,17.8,SW,0,0.05,0.06,6.66,0.03,100.35,30.73,82,1,212.4,78.3,38,77.5,50.9,29.45
High,2022-05-25,69.1,68.4,54.7,14.8,21.7,23.9,,0.07,0.06,0.07,6.89,0.04,100.36,30.77,98,10,1039.4,84.6,40,83.3,55.1,29.49
High Datetime,2022-05-25,2022-05-25T15:01:00-07:00,2022-05-25T15:02:00-07:00,2022-05-25T17:52:00-07:00,2022-05-25T10:58:00-07:00,2022-05-25T10:58:00-07:00,2022-05-25T11:20:00-07:00,,2022-05-25T01:23:00-07:00,2022-05-25T06:19:00-07:00,2022-05-25T06:19:00-07:00,2022-05-25T06:19:00-07:00,2022-05-25T06:19:00-07:00,2022-05-25T06:19:00-07:00,2022-05-25T13:05:00-07:00,2022-05-25T05:19:00-07:00,2022-05-25T11:52:00-07:00,2022-05-25T11:52:00-07:00,2022-05-25T18:01:00-07:00,2022-05-25T08:32:00-07:00,2022-05-25T18:01:00-07:00,2022-05-25T17:59:00-07:00,2022-05-25T13:05:00-07:00
Low,2022-05-25,49.5,49.5,46.4,0,0,0,,0,0,0,0,0,100.3,30.68,52,0,0,74.1,36,73,47.5,29.4
Low Datetime,2022-05-25,2022-05-25T23:35:00-07:00,2022-05-25T23:35:00-07:00,2022-05-25T23:30:00-07:00,2022-05-25T01:00:00-07:00,2022-05-25T01:00:00-07:00,2022-05-25T00:00:00-07:00,,2022-05-25T01:00:00-07:00,2022-05-25T01:00:00-07:00,2022-05-25T00:00:00-07:00,2022-05-25T00:00:00-07:00,2022-05-25T01:00:00-07:00,2022-05-25T01:00:00-07:00,2022-05-25T05:19:00-07:00,2022-05-25T16:23:00-07:00,2022-05-25T01:00:00-07:00,2022-05-25T01:00:00-07:00,2022-05-25T06:58:00-07:00,2022-05-25T17:33:00-07:00,2022-05-25T06:58:00-07:00,2022-05-25T06:58:00-07:00,2022-05-25T05:19:00-07:00
Average,2022-05-24,51.8,51.8,48.1,1.2,1.7,10.4,ENE,0,0,0,6.54,0,100.3,30.82,87,0,102.6,76.8,38,75.9,49.4,29.54
High,2022-05-24,58.1,58.1,51.8,15.9,18.3,18.3,,0.05,0.01,0.01,6.83,0.01,100.3,30.9,98,5,523.6,79.3,40,78.7,51.5,29.63
High Datetime,2022-05-24,2022-05-24T12:15:00-07:00,2022-05-24T12:15:00-07:00,2022-05-24T12:20:00-07:00,2022-05-24T13:45:00-07:00,2022-05-24T13:45:00-07:00,2022-05-24T13:45:00-07:00,,2022-05-24T18:20:00-07:00,2022-05-24T18:20:00-07:00,2022-05-24T18:20:00-07:00,2022-05-24T18:20:00-07:00,2022-05-24T18:20:00-07:00,2022-05-24T18:20:00-07:00,2022-05-24T00:00:00-07:00,2022-05-24T01:48:00-07:00,2022-05-24T10:33:00-07:00,2022-05-24T10:33:00-07:00,2022-05-24T13:33:00-07:00,2022-05-24T08:27:00-07:00,2022-05-24T13:33:00-07:00,2022-05-24T14:09:00-07:00,2022-05-24T00:00:00-07:00
Low,2022-05-24,45.1,45.1,44.2,0,0,0,,0,0,0,0,0,100.3,30.7,73,0,0,73.8,37,72.7,46.6,29.43
