 01/12/2022 09:55:00   120 74.10
 01/12/2022 10:00:00   121 74.30
 01/12/2022 10:05:00   122 74.30
 01/12/2022 10:10:00   123 74.30
 01/12/2022 10:15:00   124 74.30
 01/12/2022 10:20:00   125 74.30
 01/12/2022 10:25:00   126 74.50
 01/12/2022 10:30:00   127 74.30
 01/12/2022 10:35:00   128 74.50
 01/12/2022 10:40:00   129 74.50
 01/12/2022 10:45:00   130 74.50
 01/12/2022 10:50:00   131 74.50
 01/12/2022 10:55:00   132 74.50
 01/12/2022 11:00:00   133 74.50
 01/12/2022 11:05:00   134 74.30
 01/12/2022 11:10:00   135 74.30
 01/12/2022 11:15:00   136 74.30
 01/12/2022 11:20:00   137 74.10
 01/12/2022 11:25:00   138 74.30
 01/12/2022 11:30:00   139 74.10
 01/12/2022 11:35:00   140 74.10
